"Temperature Date","Temperature Value"
"1383-01-01",-0.22
"1384-01-01",-0.09
"1385-01-01",-0.01
"1386-01-01",-0.05
"1387-01-01",-0.12
"1388-01-01",-0.13
"1389-01-01",-0.19
"1390-01-01",-0.27
"1391-01-01",-0.23
"1392-01-01",-0.19
"1393-01-01",-0.15
"1394-01-01",-0.1
"1395-01-01",-0.18
"1396-01-01",-0.32
"1397-01-01",-0.35
"1398-01-01",-0.34
"1399-01-01",-0.37
"1400-01-01",-0.39
"1401-01-01",-0.36
"1402-01-01",-0.29
"1403-01-01",-0.25
"1404-01-01",-0.16
"1405-01-01",-0.01
"1406-01-01",0.02
"1407-01-01",-0.12
"1408-01-01",-0.15
"1409-01-01",-0.1
"1410-01-01",-0.1
"1411-01-01",-0.09
"1412-01-01",-0.11
"1413-01-01",-0.24
"1414-01-01",-0.3
"1415-01-01",-0.23
"1416-01-01",-0.07
"1417-01-01",0.08
"1418-01-01",0.08
"1419-01-01",-0.01
"1420-01-01",-0.08
"1421-01-01",-0.12
"1422-01-01",-0.05
"1423-01-01",0.1
"1424-01-01",0.1
"1425-01-01",-0.05
"1426-01-01",-0.12
"1427-01-01",0
"1428-01-01",0.07
"1429-01-01",-0.02
"1430-01-01",-0.13
"1431-01-01",-0.2
"1432-01-01",-0.22
"1433-01-01",-0.28
"1434-01-01",-0.33
"1435-01-01",-0.21
"1436-01-01",-0.12
"1437-01-01",-0.21
"1438-01-01",-0.29
"1439-01-01",-0.22
"1440-01-01",-0.16
"1441-01-01",-0.23
"1442-01-01",-0.24
"1443-01-01",-0.11
"1444-01-01",-0.11
"1445-01-01",-0.25
"1446-01-01",-0.36
"1447-01-01",-0.45
"1448-01-01",-0.54
"1449-01-01",-0.61
"1450-01-01",-0.63
"1451-01-01",-0.56
"1452-01-01",-0.52
"1453-01-01",-0.49
"1454-01-01",-0.47
"1455-01-01",-0.58
"1456-01-01",-0.74
"1457-01-01",-0.71
"1458-01-01",-0.49
"1459-01-01",-0.38
"1460-01-01",-0.47
"1461-01-01",-0.56
"1462-01-01",-0.51
"1463-01-01",-0.49
"1464-01-01",-0.61
"1465-01-01",-0.61
"1466-01-01",-0.48
"1467-01-01",-0.46
"1468-01-01",-0.51
"1469-01-01",-0.38
"1470-01-01",-0.22
"1471-01-01",-0.24
"1472-01-01",-0.33
"1473-01-01",-0.42
"1474-01-01",-0.55
"1475-01-01",-0.6
"1476-01-01",-0.46
"1477-01-01",-0.31
"1478-01-01",-0.37
"1479-01-01",-0.5
"1480-01-01",-0.47
"1481-01-01",-0.42
"1482-01-01",-0.47
"1483-01-01",-0.35
"1484-01-01",-0.1
"1485-01-01",-0.01
"1486-01-01",-0.01
"1487-01-01",-0.02
"1488-01-01",-0.02
"1489-01-01",0.08
"1490-01-01",0.07
"1491-01-01",-0.21
"1492-01-01",-0.48
"1493-01-01",-0.38
"1494-01-01",-0.24
"1495-01-01",-0.37
"1496-01-01",-0.62
"1497-01-01",-0.68
"1498-01-01",-0.53
"1499-01-01",-0.5
"1500-01-01",-0.59
"1501-01-01",-0.49
"1502-01-01",-0.35
"1503-01-01",-0.36
"1504-01-01",-0.43
"1505-01-01",-0.48
"1506-01-01",-0.48
"1507-01-01",-0.44
"1508-01-01",-0.38
"1509-01-01",-0.28
"1510-01-01",-0.24
"1511-01-01",-0.32
"1512-01-01",-0.45
"1513-01-01",-0.5
"1514-01-01",-0.49
"1515-01-01",-0.47
"1516-01-01",-0.41
"1517-01-01",-0.37
"1518-01-01",-0.34
"1519-01-01",-0.27
"1520-01-01",-0.32
"1521-01-01",-0.58
"1522-01-01",-0.84
"1523-01-01",-0.87
"1524-01-01",-0.69
"1525-01-01",-0.54
"1526-01-01",-0.49
"1527-01-01",-0.57
"1528-01-01",-0.76
"1529-01-01",-0.84
"1530-01-01",-0.79
"1531-01-01",-0.73
"1532-01-01",-0.7
"1533-01-01",-0.69
"1534-01-01",-0.57
"1535-01-01",-0.4
"1536-01-01",-0.33
"1537-01-01",-0.36
"1538-01-01",-0.36
"1539-01-01",-0.31
"1540-01-01",-0.47
"1541-01-01",-0.84
"1542-01-01",-0.98
"1543-01-01",-0.88
"1544-01-01",-0.87
"1545-01-01",-0.88
"1546-01-01",-0.82
"1547-01-01",-0.76
"1548-01-01",-0.65
"1549-01-01",-0.47
"1550-01-01",-0.38
"1551-01-01",-0.39
"1552-01-01",-0.35
"1553-01-01",-0.29
"1554-01-01",-0.36
"1555-01-01",-0.41
"1556-01-01",-0.36
"1557-01-01",-0.41
"1558-01-01",-0.54
"1559-01-01",-0.55
"1560-01-01",-0.44
"1561-01-01",-0.34
"1562-01-01",-0.29
"1563-01-01",-0.28
"1564-01-01",-0.27
"1565-01-01",-0.35
"1566-01-01",-0.41
"1567-01-01",-0.35
"1568-01-01",-0.33
"1569-01-01",-0.42
"1570-01-01",-0.58
"1571-01-01",-0.7
"1572-01-01",-0.64
"1573-01-01",-0.56
"1574-01-01",-0.56
"1575-01-01",-0.66
"1576-01-01",-0.73
"1577-01-01",-0.74
"1578-01-01",-0.89
"1579-01-01",-1.16
"1580-01-01",-1.13
"1581-01-01",-0.76
"1582-01-01",-0.52
"1583-01-01",-0.53
"1584-01-01",-0.65
"1585-01-01",-0.74
"1586-01-01",-0.68
"1587-01-01",-0.57
"1588-01-01",-0.58
"1589-01-01",-0.73
"1590-01-01",-0.86
"1591-01-01",-0.84
"1592-01-01",-0.82
"1593-01-01",-0.7
"1594-01-01",-0.53
"1595-01-01",-0.52
"1596-01-01",-0.55
"1597-01-01",-0.51
"1598-01-01",-0.48
"1599-01-01",-0.61
"1600-01-01",-0.77
"1601-01-01",-0.68
"1602-01-01",-0.55
"1603-01-01",-0.54
"1604-01-01",-0.54
"1605-01-01",-0.53
"1606-01-01",-0.58
"1607-01-01",-0.66
"1608-01-01",-0.65
"1609-01-01",-0.53
"1610-01-01",-0.45
"1611-01-01",-0.47
"1612-01-01",-0.56
"1613-01-01",-0.61
"1614-01-01",-0.54
"1615-01-01",-0.38
"1616-01-01",-0.28
"1617-01-01",-0.32
"1618-01-01",-0.42
"1619-01-01",-0.42
"1620-01-01",-0.37
"1621-01-01",-0.42
"1622-01-01",-0.51
"1623-01-01",-0.53
"1624-01-01",-0.48
"1625-01-01",-0.44
"1626-01-01",-0.53
"1627-01-01",-0.51
"1628-01-01",-0.43
"1629-01-01",-0.44
"1630-01-01",-0.57
"1631-01-01",-0.75
"1632-01-01",-0.77
"1633-01-01",-0.58
"1634-01-01",-0.42
"1635-01-01",-0.36
"1636-01-01",-0.37
"1637-01-01",-0.45
"1638-01-01",-0.45
"1639-01-01",-0.33
"1640-01-01",-0.34
"1641-01-01",-0.61
"1642-01-01",-0.8
"1643-01-01",-0.74
"1644-01-01",-0.64
"1645-01-01",-0.62
"1646-01-01",-0.64
"1647-01-01",-0.58
"1648-01-01",-0.4
"1649-01-01",-0.29
"1650-01-01",-0.28
"1651-01-01",-0.36
"1652-01-01",-0.52
"1653-01-01",-0.62
"1654-01-01",-0.69
"1655-01-01",-0.71
"1656-01-01",-0.6
"1657-01-01",-0.47
"1658-01-01",-0.45
"1659-01-01",-0.45
"1660-01-01",-0.41
"1661-01-01",-0.39
"1662-01-01",-0.44
"1663-01-01",-0.48
"1664-01-01",-0.5
"1665-01-01",-0.5
"1666-01-01",-0.43
"1667-01-01",-0.51
"1668-01-01",-0.72
"1669-01-01",-0.75
"1670-01-01",-0.58
"1671-01-01",-0.39
"1672-01-01",-0.34
"1673-01-01",-0.41
"1674-01-01",-0.51
"1675-01-01",-0.61
"1676-01-01",-0.64
"1677-01-01",-0.6
"1678-01-01",-0.56
"1679-01-01",-0.55
"1680-01-01",-0.59
"1681-01-01",-0.58
"1682-01-01",-0.44
"1683-01-01",-0.44
"1684-01-01",-0.63
"1685-01-01",-0.76
"1686-01-01",-0.74
"1687-01-01",-0.59
"1688-01-01",-0.53
"1689-01-01",-0.66
"1690-01-01",-0.74
"1691-01-01",-0.63
"1692-01-01",-0.54
"1693-01-01",-0.52
"1694-01-01",-0.5
"1695-01-01",-0.52
"1696-01-01",-0.61
"1697-01-01",-0.69
"1698-01-01",-0.73
"1699-01-01",-0.7
"1700-01-01",-0.57
"1701-01-01",-0.48
"1702-01-01",-0.5
